id,text,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10
rn-1790-00001,"regulations and instructions relating to his majesty's service at se a. part
",,,,,,,,,,
rn-1790-00002," i. the flag-officer, or commander in chief. 
",,,,,,,,,,
rn-1790-00003," article i. the flag- officer, or commander in chief, is to inform the  admiralty all his proceedings that relate to the service, for the information of the lord high admiral, or lords commissioners of the admiralty.
",,,,,,,,,,
rn-1790-00004," ii. he is likewise to correspond with the several publick offices about such matters as relate to them ; and to send an account to them, as well as to the admiralty, of all directions given by him, which concern the said offices
",,,,,,,,,,
rn-1790-00005," iii. he is never to give orders to any captain to bear supernumeraries, unless there be just cause for it ; which is to be expressed in the body of the order ; and he is to inform the  admiralty when he gives such orders, and of his reasons for so doing. 
",,,,,,,,,,
rn-1790-00006," iv. when he is at sea, he is frequently to exercise the ships under his command, and draw them into lines of battle, when the weather is fair, and the same can be done without interruption to the voyage. 
",,,,,,,,,,
rn-1790-00007," v.  the ships of his squadron or division, and view the men on board, and see them mustered , as often as he shall think necessary. 
",,,,,,,,,,
rn-1790-00008," vi. when he is in foreign parts, where naval or other officers are established, he is to conform himself, as according to much as possible, to the standing rules of the navy in such directions as he shall have occasion to give them; and never to put them upon any extraordinary expences , unless the service shall absolutely require the same.
",,,,,,,,,,
rn-1790-00009," vii. he is never to interest himself in the purchase of any stores or provisions in foreign parts, where there are proper officers appointed for that service, except  there shall be an  to make use of his credit or authority to procure such provisions or stores as are wanted ; but in that case he shall not be so concerned, as to have any private interest in the same.
",,,,,,,,,,
rn-1790-00010," viii. at the  he is to deliver a journal into high admiral, or lords commissioners of the admiralty, to give an account of the expedition, and shall leave a copy of his journal with the  admiralty. 
",,,,,,,,,,
rn-1790-00012," i. all courts martials are to be held, offences tryed, sentence pronounced, and execution of such sentence to be done, according to the articles and orders contained in an act of parliament made in the thirteenth year of the reign of king charles the second, entitled, an act for the establishing articles and orders for the regulating and better government of his majesty's navy, ships of war, and forces by sea : which act all officers concerned are duly to peruse for their instruction herein.
",,,,,,,,,,
rn-1790-00013," ii. all commissioners or general powers for holding martial, in courts martial, are to be understood to be in force no longer than during the expedition. 
",,,,,,,,,,
rn-1790-00014," iii. courts martial shall always be held in the forenoon, and in the most public place of the ship, where all, who will, may be present ; and the captains of all his majesty's ships in company, which take post, have a right to assist thereat.
",,,,,,,,,,
rn-1790-00015," iv. all complaints at sea or in foreign parts, upon which the summoning a court martial is to be grounded, shall be made in writing to the commander in chief, (until where the said commander in chief shall see cause of himself to call the same, ) in which are to be set forth the particular facts, with the place, time, and in what manner they were committed. and if any captain, who is intitled by his rank to sit in the court, be personally concerned in the matter to be tryed, he shall not be admitted to sit at the said tryal.
",,,,,,,,,,
rn-1790-00016," v. the judge- advocate is to examine the witnesses upon oath, take down their depositions in writing, and shew the same to the commander in chief, who is to order him to send timely, before the tryal, an attested copy of the charge or accusation to the party accused, in order to his being the better prepared for his defence.
",,,,,,,,,,
rn-1790-00017," vi. when the court is sitting, the judge- advocate is to take minutes of their proceedings, and to advise  them of the proper forms, when there shall be occasion ; and to deliver his opinion in any doubts or difficulties in their methods, that may arise in the course of the tryal.
",,,,,,,,,,
rn-1790-00018," vii. when the court shall have gone through the examination, and heard all parties, the person accused shall be removed, and the standers-by ordered to withdraw; after which, the matters being fully considered and debated by the court, the president is to state and put the several questions agreed by them ; in which the youngest officer shall vote first, proceeding in order up to the president, who, having delivered his own opinion, is to collect the numbers, and judge-advocate to draw up and and settle the determination of the court, according to the majority of voices.
",,,,,,,,,,
rn-1790-00019," viii. the judge-advocate is to draw up in writing the sentence of the court ; which being approved and signed by them, all persons shall be admitted ; and the party accused being present, the judge- advocate, by direction of the president, is to pronounce the sentence. 
",,,,,,,,,,
rn-1790-00020," ix. when sentence of death is to be executed upon any criminal, notice is first to be given from the ship by a signal, and firing a gun ; upon which the captains of all the ships present shall summon their companies upon deck, to be spectators thereof; and shall make known to them the crime for which the punishment is inflicted.
",,,,,,,,,,
rn-1790-00021," x. the judge-advocate is always to send the original sentence and affidavits, as also the minutes which he has taken of the proceedings of the court, to the  admiralty. 
",,,,,,,,,,
rn-1790-00022,"of rank and command. 
",,,,,,,,,,
rn-1790-00023,"article i. the established number of flag- officers of the number of navy shall be as follows, viz. one admiral and  ; one admiral of the white, and one admiral of the blue; one vice- admiral of the red, one of the white, and one of the blue: one rear-admiral of the red, one of the white, and one of the blue. and no brevet commissions shall be allowed.
",,,,,,,,,,
rn-1790-00024," ii. admirals, vice and rear admirals, captains and officers to lieutenants, shall rank in their respective classes, according to the seniority of their commissions.
",,,,,,,,,,
rn-1790-00025," iii. when there is a sufficient number of flag officers, all councils of war shall be held by them only. the first captain to the admiral of the fleet shall, on such occasions, be esteemed as a rear- admiral, and take place at all councils of war, and also at courts martial next to the junior rear-admiral.
",,,,,,,,,,
rn-1790-00026," iv. but if the number of flag- officers be less than three, the commander in chief shall call to councils of war, such of the senior captains as he shall in his discretion think necessary, of whom his own captain is to be one.
",,,,,,,,,,
rn-1790-00027," v. none are to have the rank of captains, who have not commanded a frigate of twenty guns, or more. 
",,,,,,,,,,
rn-1790-00028," vi. commanders of fire- ships, sloops, yachts, bomb vessels, hospitals , store- ships, and other vessels, though they may have commanded ships of post before, shall be commanded by junior captains in ships of post, while they keep company together, either in port, or at sea; but without prejudice to their seniority afterwards. 
",,,,,,,,,,
rn-1790-00029," vii. when any flag-officer, or captain, shall meet at sea, or in foreign parts, with a superior or senior officer, he shall shew him the orders he is under ; and if such officer shall take upon him to give him other orders for his majesty's service, he shall obey them. 
",,,,,,,,,,
rn-1790-00030," viii. no superior or senior officer shall detain a junior, or give him any delay, or divert him from pursuing  his instructions, unless it should be absolutely necessary for his majesty's service, and in such case, he shall send by the first opportunity, a copy of the orders he has given him, with his reasons for so doing, to the  admiralty.
",,,,,,,,,,
rn-1790-00031," x. when the admiral, or commanding ship, in any port or road, begins to beat the drum, in order to the setting the night-watch, all the ships in company watch. are to do the same ; and to ceafe beating as soon as the said commanding ship has fired the gun. but when the watch is to be relieved in the morning, the commanding ship is first to fire the gun, and the drum to beat afterwards.
",,,,,,,,,,
rn-1790-00032," xi.. when any flag-ships are in company with the commander in chief, each is to discharge a volley of small arms in her turn as soon as the gun is fired.
",,,,,,,,,,
rn-1790-00033," xii. captains are forbid to fire the watch- gun in any captains not port or road, either abroad or at home, except in the downes, unless there be at least five of his majesty's ships in company; but in the absence of a superior officer, the eldeft captain of guard-ships in his majesty's ports ; or, if there be but one, the captain of such guard-ship is always to fire the guard-ships watch-gun. 
",,,,,,,,,,
rn-1790-00034,"xiii. commanders of ships under twenty guns, are never to fire fthe watch-gun ; and so are the  commanders of hospital ships, store- ships, and such- like, though they may carry more than twenty guns. 
",,,,,,,,,,
rn-1790-00035," xiv. in the absence of the captain of any of his majesty's ships, the senior lieutenant shall have charge of the ship, and be answerable for the duty of the captain. if there be no lieutenant, the master shall command, and after him the second master; but if by loss in battle, or other accident, all these officers shall be wanting, the command shall devolve in succession, upon the boatswain, gunner, carpenter. 
",,,,,,,,,,
rn-1790-00036," of marks of ceremony and respect. 
",,,,,,,,,,
rn-1790-00037," article i. when flag officers go on board any of his majesty's ships, they shall be received with and beat of a guard under arms, the drum beating a march for the admiral or flag officer commanding in chief, three ruffles for an admiral, two for a vice- admiral, and one for a rear- admiral.
",,,,,,,,,,
rn-1790-00038," ii. the first captain to the admiral and  shall be received with a guard without a drum.
",,,,,,,,,,
rn-1790-00039," iii. when a flag-officer, commanding in chief, passes by any ship with his flag at the head of the boat the ship is to be manned with the watch, and drum to beat, as in the first article. 
",,,,,,,,,,
rn-1790-00040," of colours. article i. flag officers and captains are strictly forbidden to wear any other flag or pendant, than what belongs to their proper rank, except when his majesty, or any of the royal family are on board.
",,,,,,,,,,
rn-1790-00041," ii. if any officer, wearing a flag or broad pendant shall happen to be slain in fight with the enemy, the said flag or pendant shall nevertheless continue in flying, and not to be taken in, whilst the enemy is in sight; but the admiral who commands in chief, as also the flag- officer to whose squadron or division he belonged, shall immediately be acquainted with it ; and if it be the commander in chief who is killed, the next commanding officer is to be forthwith informed of it, who shall immediately repair on board the ship of the deceased commander, and give the necessary orders, leaving his flag, or broad pendant, flying in his own ship. 
",,,,,,,,,,
rn-1790-00042," iii. for the better distinction of flag- officers passing in their boats, the following regulations is to be observed ; the admiral of the fleet, the admirals of the white and blue, and the vice- admiral of the red, may carry their proper flags at the head of their boats, when they think proper; but there shall be in the other flags the following distinction , viz. a white ball in the flag of the rear- admiral of the red; a blue ball in the flag of the vice of the white; and two blue balls in the flag of the rear of the white ; a white ball in the flag of the vice of the blue; and two white balls in the flag of the rear of the blue: the said balls to be in a canton, at the upper corner of the flag next the staff.
",,,,,,,,,,
rn-1790-00043," iv. merchant-ships are to wear a red ensign, with the union jack in a canton, at the upper end next the staff ; and a white jack, with a red crofs, commonly called st. george's cross, passing quite through the same.
",,,,,,,,,,
rn-1790-00044," v. ships having private commissions, or letters of colours of mart or reprisals, are to wear the same ensign as merchant- ships ; and a red jack, with the union jack in a canton, at the upper corner next the staff.
",,,,,,,,,,
rn-1790-00045," vi. ships or vessels, in the service of any public office, are to wear the same ensign and jack as ships having letters of mart, only that in the body of the jack or ensign, shall be likewise defcribed the seal of the office they belong to.
",,,,,,,,,,
rn-1790-00046," vii. his majesty strictly forbids all masters of merchant- ships, as also of all ships or vessels employed in the service of any public office, or in raising seamen, to wear pendants, or what may be taken for them: and again if any shall presume to offend herein, and wear flags, pendants or other colours, contrary to what is here allowed, it is his majesty's pleasure, that the captains, or any other officers of his ships of war, do seize the said colours, and return the names of the master and ship to the  admiralty, together with affidavits of the fact by two witnesses, in order to their being proceeded against in the high court of admiralty.
",,,,,,,,,,
rn-1790-00047," viii. the commanders of his majesty's ships are not to suffer any foreign ships to ride in any of his ports or ports with roads with false colours ; and if they persist therein after being admonished, they are to put the said ships under arreft, and send an account thereof to the  admiralty. 
",,,,,,,,,,
rn-1790-00048," of officers in foreign parts. article i. when any commanders in chief shall have power given them, in their commissions or instructions, to appoint officers in ships under their command, they are nevertheless not to proceed to execute that power while they are within the channel, but to acquaint the  admiralty of all vacancies that shall happen.
",,,,,,,,,,
rn-1790-00049," ii. commanders in chief are not to prefer any to be lieutenants in foreign parts, but such as have passed their examination ; which if they have not already done at the navy-office, they may authorize any rthree of their principal commanders to examine them; and if it shall appear by their certificates, that they have served six years at sea, and have been rated two of the said six years as midshipmen, or mates, in some of his majesty's ships, and that they do produce regular journals and good certificates from the commanders they have served with, and are in all respects qualified for that employment, and not under twenty years of age, they may prefer them, and not otherwise, taking care to send the said certificates of examination to the  admiralty, to be deposited in that office.
",,,,,,,,,,
rn-1790-00050," iii. commanders in chief may appoint such of their officers as may happen to be members of trinity house ; or, if there be none, such of their commanders or masters as they think proper, to examine masters, or their mates, or others, applying for the employment of masters ; and according to their certificates, may promote them to any vacancies in the voyage ; but, after their return home, they are to be re- examined before the corporation of trinity house, and shall not be employed again without their certificates of approbation ; but in case there are second masters on board any of the ships of the squadron, they are first to be provided for according to their seniority and qualification, before any new one is made ; and no other second masters are to be created in their room.
",,,,,,,,,,
rn-1790-00051," iv. surgeons and their mates are to be examined by some of the principal surgeons of the fleet or squadron, if they have not already passed their examination at surgeons hall, and shall not be preferred to higher ships than they are qualified for by their certificates. if a physician is in the fleet, he shall preside at the examination ; but upon their return home, they are to pass a fresh examination before the governors of the surgeons company, and are not to be employed again without their certificates of approbation. 
",,,,,,,,,,
rn-1790-00052," part ii. the captain or commander. 
",,,,,,,,,,
rn-1790-00053," article i. when a captain, or commander, receives a commission to command one of his majesty's ships, he is immediately to repair on board, and visit her throughout, in company with his officers, and such of the officers of the yard, as the commissioner of the navy, or in his absence the chief officers of the yard, shall appoint, and inform himself of her condition, and in what manner she is to be fitted out for the sea.
",,,,,,,,,,
rn-1790-00054," ii. he is to give his constant attendance on board, and inspect into the works doing to the ship, and to quicken the dispatch thereof: he is to send to the admiralty and navy offices weekly accounts, or oftner, if necessary, of the progress made in fitting her out, and her circumstances, as to men, stores, and provisions ; and whether there be any delay, neglect, or other impediment, and the cause thereof, that the necessary orders may be given therein.
",,,,,,,,,,
rn-1790-00055," iii. he is not to lye out of the ship, from the day of his coming on board to the day of his discharge, unless by leave from the admiralty, or from his commander in chief. 
",,,,,,,,,,
rn-1790-00056," iv. all applications concerning the ship to the commissioner of the navy refiding at the port, are to be made in writing under his hand, when he cannot apply in person. 
",,,,,,,,,,
