id,text
rn-1790-00001,"REGULATIONs and INsTRUCTIONs Relating to HIs MAJEsTY's sERVICE at sE A. PART
"
rn-1790-00002," I. The Flag-Officer, or Commander in Chief. 
"
rn-1790-00003," ARTICLE I. The Flag- Officer, or Commander in Chief, is to inform the secretary of the Admiralty all his Proceedings that relate to the service, for the Information of the Lord High Admiral, or Lords commissioners of the Admiralty.
"
rn-1790-00004," II. He is likewise to correspond with the several Publick Offices about such Matters as relate to them ; and to send an Account to them, as well as to the Admiralty, of all Directions given by him, which concern the said Offices
"
rn-1790-00005," III. He is never to give Orders to any Captain to bear supernumeraries, unless there be just cause for it ; which is to be expressed in the Body of the Order ; and he is to inform the secretary of the Admiralty when he gives such Orders, and of his Reasons for so doing. 
"
rn-1790-00006," IV. When he is at sea, he is frequently to exercise the ships under his Command, and draw them into Lines of Battle, when the Weather is fair, and the same can be done without Interruption to the Voyage. 
"
rn-1790-00007," V. He is to visit the ships of his squadron or Division, and view the Men on Board, and see them mustered , as often as he shall think necessary. 
"
rn-1790-00008," VI. When he is in Foreign Parts, where Naval or other Officers are established, he is to conform himself, as according to much as possible, to the standing Rules of the Navy in such Directions as he shall have occasion to give them; and never to put them upon any extraordinary Expences , unless the service shall absolutely require the same.
"
rn-1790-00009," VII. He is never to interest himself in the Purchase of any stores or Provisions in Foreign Parts, where there are proper Officers appointed for that service, except  there shall be an absolute Necessity to make Use of his Credit or Authority to procure such Provisions or stores as are wanted ; but in that Case he shall not be so concerned, as to have any private Interest in the same.
"
rn-1790-00010," VIII. At the End of the Voyage he is to deliver a Journal into High Admiral, or Lords commissioners of the Admiralty, to give an Account of the Expedition, and shall leave a Copy of his Journal with the secretary of the Admiralty. 
"
rn-1790-00011," Of Courts Martial. 
"
rn-1790-00012," I. ALL Courts Martials are to be held, Offences tryed, sentence pronounced, and Execution of such sentence to be done, according to the Articles and Orders contained in an Act of Parliament made in the Thirteenth Year of the Reign of King Charles the second, entitled, An Act for the Establishing Articles and Orders for the Regulating and better Government of His Majesty's Navy, ships of War, and Forces by sea : Which Act all Officers concerned are duly to peruse for their Instruction herein.
"
rn-1790-00013," II. All commissioners or General Powers for holding Martial, in Courts Martial, are to be understood to be in Force no longer than during the Expedition. 
"
rn-1790-00014," III. Courts Martial shall always be held in the Forenoon, and in the most public Place of the ship, where all, who will, may be present ; and the Captains of all His Majesty's ships in Company, which take Post, have a Right to assist thereat.
"
rn-1790-00015," IV. All Complaints at sea or in Foreign Parts, upon which the summoning a Court Martial is to be grounded, shall be made in Writing to the Commander in Chief, (until where the said Commander in Chief shall see Cause of himself to call the same, ) in which are to be set forth the particular Facts, with the Place, Time, and in what Manner they were committed. And if any Captain, who is intitled by his Rank to sit in the Court, be personally concerned in the Matter to be tryed, he shall not be admitted to sit at the said Tryal.
"
rn-1790-00016," V. The Judge- Advocate is to examine the Witnesses upon Oath, take down their Depositions in Writing, and shew the same to the Commander in Chief, who is to order him to send timely, before the Tryal, an attested Copy of the Charge or Accusation to the Party accused, in order to his being the better prepared for his Defence.
"
rn-1790-00017," VI. When the Court is sitting, the Judge- Advocate is To take Minutes of their Proceedings, and to advise  them of the proper Forms, when there shall be Occasion ; and to deliver his Opinion in any Doubts or Difficulties in their Methods, that may arise in the Course of the Tryal.
"
rn-1790-00018," VII. When the Court shall have gone through the Examination, and heard all Parties, the Person accused shall be removed, and the standers-by ordered to withdraw; after which, the Matters being fully considered and debated by the Court, the President is to state and put the several Questions agreed by them ; in which the youngest officer shall Vote first, proceeding in Order up to the President, who, having delivered his own Opinion, is to collect the Numbers, and Judge-Advocate to draw up and and settle the Determination of the Court, according to the Majority of Voices.
"
rn-1790-00019," VIII. The Judge-Advocate is to draw up in Writing the sentence of the Court ; which being approved and signed by them, all Persons shall be admitted ; and the Party accused being present, the Judge- Advocate, by Direction of the President, is to pronounce the sentence. 
"
rn-1790-00020," IX. When sentence of Death is to be executed upon any Criminal, Notice is first to be given from the ship by a signal, and firing a Gun ; upon which the Captains of all the ships present shall summon their Companies upon Deck, to be spectators thereof; and shall make known to them the Crime for which the Punishment is inflicted.
"
rn-1790-00021," X. The Judge-Advocate is always to send the Original sentence and Affidavits, as also the Minutes which he has taken of the Proceedings of the Court, to the secretary of the Admiralty. 
"
rn-1790-00022,"Of Rank and Command. 
"
rn-1790-00023,"Article I. THE established Number of Flag- Officers of the Number of Navy shall be as follows, viz. One Admiral and Commander in Chief of the Fleet ; one Admiral of the White, and one Admiral of the Blue; one Vice- Admiral of the Red, one of the White, and one of the Blue: one Rear-Admiral of the Red, one of the White, and one of the Blue. And no Brevet commissions shall be allowed.
"
rn-1790-00024," II. Admirals, Vice and Rear Admirals, Captains and Officers to Lieutenants, shall rank in their Respective Classes, according to the seniority of their commissions.
"
rn-1790-00025," III. When there is a sufficient Number of Flag Officers, all Councils of War shall be held by them only. The first Captain to the Admiral of the Fleet shall, on such occasions, be esteemed as a Rear- Admiral, and take Place at all Councils of War, and also at Courts Martial next to the Junior Rear-Admiral.
"
rn-1790-00026," IV. But if the Number of Flag- Officers be less than Three, the Commander in Chief shall call to Councils of War, such of the senior Captains as he shall in his Discretion think necessary, of whom his own Captain is to be one.
"
rn-1790-00027," V. None are to have the Rank of Captains, who have not commanded a Frigate of Twenty Guns, or more. 
"
rn-1790-00028," VI. Commanders of Fire- ships, sloops, Yachts, Bomb Vessels, Hospitals , store- ships, and other Vessels, though they may have commanded ships of Post before, shall be commanded by Junior Captains in ships of Post, while they keep Company together, either in Port, or at sea; but without Prejudice to their seniority afterwards. 
"
rn-1790-00029," VII. When any Flag-Officer, or Captain, shall meet at sea, or in Foreign Parts, with a superior or senior Officer, he shall shew him the Orders he is under ; and if such Officer shall take upon him to give him other Orders for His Majesty's service, he shall obey them. 
"
rn-1790-00030," VIII. No superior or senior Officer shall detain a Junior, or give him any Delay, or divert him from pursuing  his Instructions, unless it should be absolutely necessary for His Majesty's service, and in such Case, he shall send by the first Opportunity, a Copy of the Orders he has given him, with his Reasons for so doing, to the secretary of the Admiralty.
"
rn-1790-00031," X. When the Admiral, or Commanding ship, in any Port or Road, begins to beat the Drum, in order to the setting the Night-Watch, all the ships in Company Watch. are to do the same ; and to ceafe beating as soon as the said Commanding ship has fired the Gun. But when the Watch is to be relieved in the Morning, the Commanding ship is first to fire the Gun, and the Drum to beat afterwards.
"
rn-1790-00032," XI.. When any Flag-ships are in Company with the Commander in Chief, each is to discharge a Volley of small Arms in her Turn as soon as the Gun is fired.
"
rn-1790-00033," XII. Captains are forbid to fire the Watch- Gun in any Captains not Port or Road, either Abroad or at Home, except in the Downes, unless there be at least Five of His Majesty's ships in Company; but in the Absence of a superior Officer, the Eldeft Captain of Guard-ships in His Majesty's Ports ; or, if there be but one, the Captain of such Guard-ship is always to fire the Guard-ships Watch-Gun. 
"
rn-1790-00034,"XIII. Commanders of ships under Twenty Guns, are never to fire fthe Watch-Gun ; and so are the  Commanders of Hospital ships, store- ships, and such- like, though they may carry more than Twenty Guns. 
"
rn-1790-00035," XIV. In the Absence of the Captain of any of His Majesty's ships, the senior Lieutenant shall have Charge of the ship, and be answerable for the Duty of the Captain. If there be no Lieutenant, the Master shall command, and after him the second Master; but if by Loss in Battle, or other Accident, all these Officers shall be wanting, the Command shall devolve in succession, upon the Boatswain, Gunner, Carpenter. 
"
rn-1790-00036," Of Marks of Ceremony and Respect. 
"
rn-1790-00037," Article I. WHEN Flag Officers go on Board any of His Majesty's ships, they shall be received with and Beat of a Guard under Arms, the Drum beating a March for the Admiral or Flag Officer commanding in Chief, three Ruffles for an Admiral, two for a Vice- Admiral, and one for a Rear- Admiral.
"
rn-1790-00038," II. The First Captain to the Admiral and Commander in Chief of the Fleet shall be received with a Guard without a Drum.
"
rn-1790-00039," III. When a Flag-Officer, commanding in Chief, passes by any ship with his Flag at the Head of the Boat the ship is to be manned with the Watch, and Drum to beat, as in the first Article. 
"
rn-1790-00040," Of Colours. Article I. FLAG Officers and Captains are strictly forbidden to wear any other Flag or Pendant, than what belongs to their proper Rank, except when His Majesty, or any of the Royal Family are on board.
"
rn-1790-00041," II. If any Officer, wearing a Flag or broad Pendant shall happen to be slain in Fight with the Enemy, the said Flag or Pendant shall nevertheless continue in flying, and not to be taken in, whilst the Enemy is in sight; but the Admiral who commands in Chief, as also the Flag- Officer to whose squadron or Division he belonged, shall immediately be acquainted with it ; and if it be the Commander in Chief who is killed, the next Commanding Officer is to be forthwith informed of it, who shall immediately repair on Board the ship of the deceased Commander, and give the necessary Orders, leaving his Flag, or broad Pendant, flying in his own ship. 
"
rn-1790-00042," III. For the better Distinction of Flag- Officers passing in their Boats, the following Regulations is to be observed ; the Admiral of the Fleet, the Admirals of the White and Blue, and the Vice- Admiral of the Red, may carry their proper Flags at the Head of their Boats, when they think proper; but there shall be in the other Flags the following distinction , viz. a White Ball in the Flag of the Rear- Admiral of the Red; a Blue Ball in the Flag of the Vice of the White; and two Blue Balls in the Flag of the Rear of the White ; a White Ball in the Flag of the Vice of the Blue; and two White Balls in the Flag of the Rear of the Blue: The said Balls to be in a Canton, at the upper Corner of the Flag next the staff.
"
rn-1790-00043," IV. Merchant-ships are to wear a Red Ensign, with the Union Jack in a Canton, at the upper End next the staff ; and a White Jack, with a Red Crofs, commonly called st. George's Cross, passing quite through the same.
"
rn-1790-00044," V. ships having private commissions, or Letters of Colours of Mart or Reprisals, are to wear the same Ensign as Merchant- ships ; and a Red Jack, with the Union Jack in a Canton, at the upper Corner next the staff.
"
rn-1790-00045," VI. Ships or Vessels, in the service of any Public Office, are to wear the same Ensign and Jack as ships having Letters of Mart, only that in the Body of the Jack or Ensign, shall be likewise defcribed the seal of the Office they belong to.
"
rn-1790-00046," VII. His Majesty strictly forbids all Masters of Merchant- ships, as also of all ships or Vessels employed in the service of any Public Office, or in raising seamen, to wear Pendants, or what may be taken for them: And again if any shall presume to offend herein, and wear Flags, Pendants or other Colours, contrary to what is here allowed, it is His Majesty's Pleasure, that the Captains, or any other Officers of His ships of War, do seize the said Colours, and return the Names of the Master and ship to the secretary of the Admiralty, together with Affidavits of the Fact by two Witnesses, in order to their being proceeded against in the High Court of Admiralty.
"
rn-1790-00047," VIII. The Commanders of His Majesty's ships are not to suffer any Foreign ships to ride in any of His Ports or Ports with Roads with false Colours ; and if they persist therein after being admonished, they are to put the said ships under Arreft, and send an Account thereof to the secretary of the Admiralty. 
"
rn-1790-00048," of Officers in Foreign Parts. Article I. WHEN any Commanders in Chief shall have Power given them, in their commissions or Instructions, to appoint Officers in ships under their Command, they are nevertheless not to proceed to execute that Power while they are within the Channel, but to acquaint the secretary of the Admiralty of all Vacancies that shall happen.
"
rn-1790-00049," II. Commanders in Chief are not to prefer any to be Lieutenants in Foreign Parts, but such as have passed their Examination ; which if they have not already done at the Navy-Office, they may authorize any rThree of their principal Commanders to examine them; and if it shall appear by their Certificates, that they have served six Years at sea, and have been rated Two of the said six Years as Midshipmen, or Mates, in some of His Majesty's ships, and that they do produce regular Journals and good Certificates from the Commanders they have served with, and are in all Respects qualified for that Employment, and not under Twenty Years of Age, they may prefer them, and not otherwise, taking Care to send the said Certificates of Examination to the secretary of the Admiralty, to be deposited in that Office.
"
rn-1790-00050," III. Commanders in Chief may appoint such of their Officers as may happen to be Members of Trinity House ; or, if there be none, such of their Commanders or Masters as they think proper, to examine Masters, or their Mates, or others, applying for the Employment of Masters ; and according to their Certificates, may promote them to any Vacancies in the Voyage ; but, after their Return Home, they are to be re- examined before the Corporation of Trinity House, and shall not be employed again without their Certificates of Approbation ; but in Case there are second Masters on Board any of the ships of the squadron, they are first to be provided for according to their seniority and Qualification, before any new one is made ; and no other second Masters are to be created in their Room.
"
rn-1790-00051," IV. surgeons and their Mates are to be examined by some of the Principal surgeons of the Fleet or squadron, if they have not already passed their Examination at surgeons Hall, and shall not be preferred to higher ships than they are qualified for by their Certificates. If a Physician is in the Fleet, he shall preside at the Examination ; but upon their Return Home, they are to pass a fresh Examination before the Governors of the surgeons Company, and are not to be employed again without their Certificates of Approbation. 
"
rn-1790-00052," PART II. The Captain or Commander. 
"
rn-1790-00053," ARTICLE I. WHEN a Captain, or Commander, receives a commission to command one of His Majesty's ships, he is immediately to repair on Board, and visit her throughout, in Company with his Officers, and such of the Officers of the Yard, as the commissioner of the Navy, or in his Absence the chief Officers of the Yard, shall appoint, and inform himself of her Condition, and in what Manner she is to be fitted out for the sea.
"
